"学年","範囲","問題","答え","誤答候補"
"中2","エネルギー（物理）","電流の流れる道すじが１つの輪のようになっている回路を何というか。","直列回路",""
"中2","エネルギー（物理）","電流の流れる道すじが枝分かれしている回路を何というか。","並列回路",""
"中2","エネルギー（物理）","電流計は，回路に直列につなぐか，並列につなぐか。","直列につなぐ",""
"中2","エネルギー（物理）","電流計をこわさないようにするため，はじめにつなぐ－端子は５Ａ，500ｍＡ，50ｍＡのどれか。","５Ａ",""
"中2","エネルギー（物理）","電圧計は，回路に直列につなぐか，並列につなぐか。","並列につなぐ",""
"中2","エネルギー（物理）","電圧計にはじめにつなぐ－端子は300Ｖ，15V，３Vのどれか。","300Ｖ",""
"中2","エネルギー（物理）","電熱線に流れる電流の強さが，電熱線に加わる電圧の大きさに比例する関係を何の法則というか。","オームの法則",""
"中2","エネルギー（物理）","電流の流れにくさを表す量を何というか。","抵抗(電気抵抗)",""
"中2","エネルギー（物理）","銅などの金属のように，電流を通しやすい物質を何というか。","導体",""
"中2","エネルギー（物理）","ガラスやゴムなどのように，抵抗が大きく電流がひじょうに流れにくい物質を何というか。","不導体(絶縁体)",""
"中2","エネルギー（物理）","熱や光，音などを出したり，物体を動かしたりする電気器具の能力を何というか。","電力",""
"中2","エネルギー（物理）","１Vの電圧を加えて１Aの電流を流れたときの電力を単位をつけて表すとどうなるか。","１Ｗ(ワット)",""
"中2","エネルギー（物理）","電気ポットで水の温度を上昇させるとき、ワット数の大きいほうと小さいほうではどちらが早く高い温度になるか。","大きいほう",""
"中2","エネルギー（物理）","磁力がはたらいている空間を何というか。","磁界",""
"中2","エネルギー（物理）","磁界の中に磁針を置いたとき，磁針のN極が指す向きを何というか。","磁界の向き",""
"中2","エネルギー（物理）","磁針のN極が指す向きをなめらかにつないだ線を何というか。","磁力線",""
"中2","エネルギー（物理）","磁石のつくる磁界の向きは，N極からS極，S極からN極のどちらか。","Ｎ極からＳ極",""
"中2","エネルギー（物理）","磁界の強いところの磁力線の間隔はどのようになっているか。","せまくなっている",""
"中2","エネルギー（物理）","まっすぐな導線に電流を流すと，そのまわりにはどのような形の磁界ができるか。","同心円状",""
"中2","エネルギー（物理）","コイルの巻き数を多くするほど，磁界の強さはどうなるか。","強くなる",""
"中2","エネルギー（物理）","磁界の中の導線に電流が流れる，導線が動き出す原理を利用したものに何があるか。","モーター(電動機)",""
"中2","エネルギー（物理）","コイルの中の磁界が変化すると，コイルに電流が流れる現象を何というか。","電磁誘導",""
"中2","エネルギー（物理）","コイルの中の磁界の変化によってコイルに流れる電流を何というか。","誘導電流",""
"中2","エネルギー（物理）","電磁誘導を利用して電流を得られるようにした装置は何か。","発電機",""
"中3","生命（生物）","多くの動物や植物のふえ方で，雌と雄がかかわって子孫を残していくふえ方を何というか。","有性生殖",""
"中3","生命（生物）","親のからだの一部が分かれたり，分裂したりして子孫を残していくふえ方を何というか。","無性生殖",""
"中3","生命（生物）","卵細胞の核と精細胞の核が合体すること，または，卵の核と精子の核が合体することを何というか。","受精",""
"中3","生命（生物）","１個の受精卵が細胞分裂をくり返して，生物のからだができていく過程を何というか。","発生",""
"中3","生命（生物）","受精卵が分裂をくり返して，細胞の数をふやし，発生期にある個体を何というか。","胚",""
"中3","生命（生物）","卵や精子などの生殖細胞をつくるときに，染色体の数が半分になるような特別の細胞分裂を何というか。","減数分裂",""
"中3","生命（生物）","被子植物で，受粉が行われたあと，花粉から胚珠に向かってのびていくものを何というか。","花粉管",""
"中3","生命（生物）","生物がもつ形や性質の特徴のことを何というか。","形質",""
"中3","生命（生物）","親のもつ特徴が子に受けつがれることを何というか。","遺伝",""
"中3","生命（生物）","核の中の染色体にあり，形質を伝えるもとになるものを何というか。","遺伝子",""
"中3","生命（生物）","生物どうしの食べる・食べられるという関係によるつながりを何というか。","食物連鎖",""
"中3","生命（生物）","光合成で有機物をつくる植物の，生物どうしのつながりにおけるよばれ方を何というか。","生産者",""
"中3","生命（生物）","植物がつくり出した有機物を食べる動物の，生物どうしのつながりにおけるよばれ方を何というか。","消費者",""
"中3","生命（生物）","有機物を無機物に分解するはたらきをしている菌類・細菌類の，生物どうしのつながりにおけるよばれ方を何というか。","分解者",""
"中3","生命（生物）","地球上の生物が利用している大気中の酸素は，何というはたらきでつくられているか。","光合成",""
"中3","粒子（化学）","塩化ナトリウムのように、水に溶かしたときに水溶液に電流が流れる物質を何というか。","電解質",""
"中3","粒子（化学）","砂糖のように、水に溶かしたとき水溶液に電流が流れない物質を何というか。","非電解質",""
"中3","粒子（化学）","物質をつくる最小の粒子を何というか。","原子",""
"中3","粒子（化学）","原子核のまわりに存在し、－の電気をもつものを何というか。","電子",""
"中3","粒子（化学）","原子核にあり、＋の電気をもつものを何というか。","陽子",""
"中3","粒子（化学）","原子核にあり、電気をもたないものを何というか。","中性子",""
"中3","粒子（化学）","陽子と中性子からできているものを何というか。","原子核",""
"中3","粒子（化学）","原子が電気を帯びたものを何というか。","イオン",""
"中3","粒子（化学）","原子が電子を失って、＋の電気を帯びたものを何というか。","陽イオン",""
"中3","粒子（化学）","原子が電子を受けとって、－の電気を帯びたものを何というか。","陰イオン",""
"中3","粒子（化学）","原子の記号を使い、イオンを記号で書き表したものを何というか。","イオン式",""
"中3","粒子（化学）","電解質が水に溶け、陽イオンと陰イオンに分かれることを何というか。","電離",""
"中3","粒子（化学）","化学変化を利用して電気エネルギーをとり出す装置を何というか。","電池（化学電池）",""
"中3","粒子（化学）","水の電気分解と逆の化学変化を利用して、電気エネルギーをとり出す電池を何というか。","燃料電池",""
"中3","粒子（化学）","酸性で黄色、中性で緑色、アルカリ性で青色を示す指示薬は何か。","BTB溶液",""
"中3","粒子（化学）","酸性・中性で無色、アルカリ性で赤色を示す指示薬は何か。","フェノールフタレイン溶液",""
"中3","粒子（化学）","酸性やアルカリ性の強さを表す数値を何というか。","pH",""
"中3","粒子（化学）","pHの値が７のとき、水溶液は何性か。","中性",""
"中3","粒子（化学）","pHの値が７より小さいとき、水溶液は何性か。","酸性",""
"中3","粒子（化学）","pHの値が７より大きいとき、水溶液は何性か。","アルカリ性",""
"中3","粒子（化学）","水溶液中で電離してH+を生じる物質を何というか。","酸",""
"中3","粒子（化学）","水溶液中で電離してOH-を生じる物質を何というか。","アルカリ",""
"中3","粒子（化学）","H+とOH-が結びついて、酸とアルカリの互いの性質を打ち消し合う反応を何というか。","中和",""
"中3","粒子（化学）","酸の陰イオンとアルカリの陽イオンが結びついてできる物質を何というか。","塩",""
"中3","粒子（化学）","うすい塩酸・精製水・エタノールの水溶液のうち、電流が流れるものはどれか。","うすい塩酸",""
"中3","粒子（化学）","砂糖・食塩・塩化銅のうち、非電解質はどれか。","砂糖",""
"中3","粒子（化学）","＋の電気をもつのは,陽子・中性子・電子のうちのどれか。","陽子",""
"中3","粒子（化学）","原子は、全体として電気を帯びているか。","帯びていない",""
"中3","粒子（化学）","ナトリウムイオンは、陽イオン・陰イオンのどちらか。","陽イオン",""
"中3","粒子（化学）","マグネシウムイオンをイオン式で書け。","Mg2＋",""
"中3","粒子（化学）","塩化水素が水にとけて電離すると、何イオンと何イオンに分かれるか。イオン式で、２つ書け。","H＋・Cl－",""
"中3","粒子（化学）","塩化銅水溶液を電気分解したとき、陰極に付着する物質は何か。","銅",""
"中3","粒子（化学）","塩酸を電気分解したとき、陰極から発生する気体は何か。","水素",""
"中3","粒子（化学）","食塩水に２枚の銅板を入れ、導線でつなぐとき、電圧は生じるか。","生じない",""
"中3","粒子（化学）","砂糖水にマグネシウムリボンと銅板を入れ、導線でつなぐと、電圧は生じるか。","生じない",""
"中3","粒子（化学）","うすい塩酸に亜鉛板と銅板を入れた電池では、亜鉛が塩酸にとける。このとき、亜鉛は何を失うか。","電子",""
"中3","粒子（化学）","電池は、何エネルギーを電気エネルギーに変換しているか。","化学エネルギー",""
"中3","粒子（化学）","充電ができるのは、マンガン乾電池・鉛蓄電池のどちらか。","鉛蓄電池",""
"中3","粒子（化学）","簡易電気分解装置で水を電気分解したあと、電源を外して電極に電子オルゴールをつないだ。このとき、電子オルゴールの音は鳴るか。","鳴る",""
"中3","粒子（化学）","酸性の水溶液では、何色のリトマス紙が変化するか。","青色",""
"中3","粒子（化学）","アルカリ性の水溶液では、ＢＴＢ溶液が何色に変化するか。","青色",""
"中3","粒子（化学）","フェノールフタレイン溶液が赤色になるのは、酸性・中性・アルカリ性のうちのどの水溶液か。","アルカリ性",""
"中3","粒子（化学）","マグネシウムリボンを入れたとき、水素が発生するのは、酸性・中性・アルカリ性のうちのどの水溶液か。","酸性",""
"中3","粒子（化学）","水酸化バリウム・硫酸・水酸化カリウムのうち、酸はどれか。","硫酸",""
"中3","粒子（化学）","中和でできる物質は、塩と何か。化学式で書け。","H2O",""
"中3","粒子（化学）","塩酸と水酸化ナトリウム水溶液を混ぜ合わせ、水溶液を中性にした。この水溶液を蒸発させたときに出てくるのは、何という物質の結晶か。","塩化ナトリウム",""
"中3","エネルギー（物理）","単位時間に物体が移動する距離で表せるものは何か。","速さ",""
"中3","エネルギー（物理）","ある区間を一定の速さで走ったとみなしたときの速さを何というか。","平均の速さ",""
"中3","エネルギー（物理）","ごく短い時間に移動した距離をその時間で割って求めた速さで，スピードメーターが示す速さを何というか。","瞬間の速さ",""
"中3","エネルギー（物理）","１秒間に50打点打つ記録タイマーで，５打点するのに何秒かかるか。","0.1秒",""
"中3","エネルギー（物理）","記録タイマーの打点間隔が広がっていく運動は，速さがどうなる運動か。","速くなる運動",""
"中3","エネルギー（物理）","斜面を下る台車の運動は，速さがどうなる運動か。","速くなる運動",""
"中3","エネルギー（物理）","斜面の角度を大きくすると，斜面を下る台車の速さの変化はどうなるか。","大きくなる",""
"中3","エネルギー（物理）","斜面をのぼる台車の運動は，速さがどうなる運動か。","おそくなる運動",""
"中3","エネルギー（物理）","地面を転がしたボールが止まるのは，ボールに何という力がはたらくからか。","摩擦力",""
"中3","エネルギー（物理）","一直線上を動く運動で，力がはたらかない運動や，はたらいている力がつり合っている運動を何というか。","等速直線運動",""
"中3","エネルギー（物理）","等速直線運動では，移動距離と時間にはどのような関係があるか。","比例(の関係)",""
"中3","エネルギー（物理）","物体が，外から力がはたらかないかぎり，運動の様子を変えずに，その運動の状態を続けようとする性質を何というか。","慣性",""
"中3","エネルギー（物理）","力がはたらかないかぎり，静止している物体は静止し続け，動いている物体は等速直線運動を続けるという法則とは何か。","慣性の法則",""
"中3","エネルギー（物理）","高いところにある物体がもっているエネルギーを何というか。","位置エネルギー",""
"中3","エネルギー（物理）","運動している物体がもっているエネルギーを何というか。","運動エネルギー",""
"中3","エネルギー（物理）","高いところほど，速い運動ほど，質量が大きいほど物体のもっているエネルギーの大きさはどうなるか。","大きくなる",""
"中3","エネルギー（物理）","位置エネルギーと運動エネルギーの和を何というか。","力学的エネルギー",""
"中3","エネルギー（物理）","位置エネルギーと運動エネルギーは互いに移り変わるが，摩擦や空気抵抗がないときその和が一定に保たれるということを何というか。","力学的エネルギーの保存",""
"中3","エネルギー（物理）","１Wの電力を１秒間使用したときの電気エネルギーを単位をつけて表すとどうなるか。","１Ｊ(ジュール)",""
"中3","エネルギー（物理）","エネルギーが移り変わる前後で，エネルギー全体の量が一定に保たれることを何というか。","エネルギーの保存",""
