"学年","範囲","問題","答え","誤答候補"
"中2","生命（生物）","植物の細胞の中にたくさんある，光合成を行う小さな粒を何というか。","葉緑体","核;細胞膜;細胞壁;液胞;ミトコンドリア;細胞質;気孔"
"中2","生命（生物）","１つの細胞が２つの細胞に分かれることを何というか。","細胞分裂","減数分裂;受精;発生;分化;複製;成長;増殖"
"中2","生命（生物）","細胞分裂を観察するとき，核を染めるのに用いる染色液は何か。","酢酸カーミン液(酢酸オルセイン液)","ヨウ素液;ベネジクト液;BTB溶液;石灰水;フェノールフタレイン溶液;リトマス紙;塩化コバルト紙"
"中2","生命（生物）","細胞分裂がはじまったときに核の中に現れるひものようなものを何というか。","染色体","遺伝子;核;DNA;紡錘糸;細胞質;細胞膜;液胞"
"中2","生命（生物）","生物のからだが成長するのは，細胞分裂によって細胞の数がふえることと，分かれたあとの細胞がどうなることによるか。","大きくなること","小さくなること;数がへること;変化しないこと;形が変わること;こわれること;増えること;移動すること"
"中2","生命（生物）","生物が，自分と同じ種類の子孫をつくるはたらきを何というか。","生殖","発生;受精;成長;遺伝;分裂;増殖;進化"
"中2","粒子（化学）","もとの物質とはちがう別の物質ができる変化を何というか。","化学変化（化学反応）","状態変化;物理変化;融解;蒸発;変形;溶解;凝固"
"中2","粒子（化学）","１種類の物質が１種類以上の別の物質に分かれる化学変化を何というか。","分解","化合;酸化;還元;融解;蒸発;中和;燃焼"
"中2","粒子（化学）","水にふれると青色から赤（桃）色に変化する試験紙は何か。","塩化コバルト紙","リトマス紙;BTB溶液;ヨウ素液;石灰水;フェノールフタレイン溶液;青色リトマス紙;pH試験紙"
"中2","粒子（化学）","アルカリ性の溶液に入れると、赤色に変化する溶液は何か。","フェノールフタレイン溶液","BTB溶液;リトマス紙;ヨウ素液;石灰水;塩化コバルト紙;ベネジクト液;pH試験紙"
"中2","粒子（化学）","物質に電流を流して分解することを何というか。","電気分解","熱分解;分解;電離;化合;放電;中和;溶解"
"中2","粒子（化学）","物質をつくる最小の粒子を何というか。","原子","分子;イオン;電子;元素;原子核;粒子;陽子"
"中2","粒子（化学）","原子はそれ以上分けることができるか。","できない","できる"
"中2","粒子（化学）","原子は、種類ごとに質量が決まっているか。","決まっている","決まっていない"
"中2","粒子（化学）","酸素の化学式を答えよ。","○２","O;CO2;H2O;O3;H2;N2;CO"
"中2","粒子（化学）","いくつかの原子が結びついてできた粒子を何というか。","分子","原子;イオン;元素;化合物;原子核;単体;粒子"
"中2","粒子（化学）","化合してできた物質を何というか。","化合物","単体;混合物;元素;原子;分子;純物質;化学式"
"中2","粒子（化学）","原子の記号を使って物質を表したものを何というか。","化学式","化学反応式;イオン式;元素記号;原子記号;組成式;分子式;示性式"
"中2","粒子（化学）","１種類の原子だけでできている物質を何というか。","単体","化合物;混合物;元素;原子;純物質;同素体;分子"
"中2","粒子（化学）","２種類以上の原子でできている物質を何というか。","化合物","単体;混合物;元素;原子;分子;純物質;同素体"
"中2","粒子（化学）","化学変化のようすを化学式を用いて表した式を何というか。","化学反応式","化学式;イオン式;分子式;組成式;元素記号;示性式;構造式"
"中2","粒子（化学）","2種類以上の物質が結びついて、別の物質ができる化学変化を何というか。","化合","分解;酸化;還元;中和;結合;混合;溶解"
"中2","粒子（化学）","物質が酸素と化合することを何というか。","酸化","還元;燃焼;分解;中和;腐食;風化;溶解"
"中2","粒子（化学）","光や熱を出しながら激しく進む酸化を何というか。","燃焼","酸化;還元;発火;爆発;蒸発;融解;気化"
"中2","粒子（化学）","酸化物が酸素をうばわれる化学変化を何というか。","還元","酸化;燃焼;分解;化合;中和;精錬;腐食"
"中2","粒子（化学）","還元と同時に起こる化学変化を何というか。","酸化","還元;燃焼;分解;化合;中和;腐食;蒸発"
"中2","粒子（化学）","化学変化の前後では、全体の質量が変化しない。このことを何というか。","質量保存の法則","定比例の法則;エネルギー保存の法則;倍数比例の法則;アボガドロの法則;作用反作用の法則;ボイルの法則;ヘスの法則"
"中2","粒子（化学）","化学変化に関係する物質の質量の比は、いつも一定といえるか。","いえる","いえない"
"中2","粒子（化学）","周囲に熱を発生する化学変化を何というか。","発熱反応","吸熱反応;酸化反応;中和反応;分解反応;燃焼反応;放熱反応;蓄熱反応"
"中2","粒子（化学）","周囲から熱を吸収する化学変化を何というか。","吸熱反応","発熱反応;酸化反応;中和反応;分解反応;燃焼反応;冷却反応;放熱反応"
"中2","粒子（化学）","鉄粉が空気中の酸素と結びつき、温度が上がる反応を利用したものには、何があるか。","（化学）かいろ","冷却パック;乾電池;保冷剤;湯たんぽ;ホットプレート;蓄熱材;燃料電池"
"中2","粒子（化学）","炭酸水素ナトリウムを加熱したときに発生する気体は何か。","二酸化炭素","酸素;水素;水蒸気;窒素;アンモニア;一酸化炭素;塩素"
"中2","粒子（化学）","二酸化炭素を石灰水に通すと、石灰水はどうなるか。","白くにごる","透明のまま;赤くなる;青くなる;泡が出る;変化しない;黒くなる;緑になる"
"中2","粒子（化学）","炭酸水素ナトリウムを加熱したときに液体になって現れる物質は何か。","水","二酸化炭素;炭酸ナトリウム;塩化ナトリウム;エタノール;石灰水;アンモニア水;食塩水"
"中2","粒子（化学）","同じ体積の水に同じ質量の炭酸水素ナトリウム、炭酸ナトリウムをそれぞれ溶かし、フェノールフタレイン溶液を入れると、濃い赤色になるのはどちらか。","炭酸ナトリウム","炭酸水素ナトリウム"
"中2","粒子（化学）","酸化銀を加熱すると、何という物質ができるか。２つ書け。","銀・酸素","銅と酸素;銀と水素;銀と二酸化炭素;金と酸素;銀と水;酸化銀と酸素;鉄と酸素"
"中2","粒子（化学）","水の電気分解で、電流を流しやすくするために、水に溶かす物質は何か。","水酸化ナトリウム","食塩;砂糖;塩化ナトリウム;塩酸;炭酸ナトリウム;エタノール;石灰"
"中2","粒子（化学）","水の電気分解で、陽極（＋極）に発生する気体は何か。","酸素","水素;二酸化炭素;窒素;塩素;水蒸気;オゾン;アンモニア"
"中2","粒子（化学）","亜鉛を原子の記号で表せ。","Zn","Zi;Az;Zc;Zr;An;Zo;Ze"
"中2","粒子（化学）","金属が空気中の酸素とゆっくりと化合すると、何ができるか。","さび","灰;すす;炭;こげ;あわ;結晶;つや"
"中2","粒子（化学）","アンモニアを化学式で表せ。","ＮＨ３","NH4;N3H;NH2;HN3;N2H3;NH;H2N"
"中2","粒子（化学）","二酸化炭素・水素・水のうち、単体はどれか。","水素","二酸化炭素;水"
"中2","粒子（化学）","アルミニウム・酸化鉄・酸素のうち、化合物はどれか。","酸化鉄","アルミニウム;酸素"
"中2","粒子（化学）","メタン・窒素・酸化銅のうち、分子をつくらないものはどれか。","酸化銅","メタン;窒素"
"中2","粒子（化学）","マグネシウムを燃やすと、何という物質ができるか。","酸化マグネシウム","水酸化マグネシウム;塩化マグネシウム;炭酸マグネシウム;硫化マグネシウム;酸化カルシウム;硫酸マグネシウム;窒化マグネシウム"
"中2","粒子（化学）","酸化マグネシウムを化学式で表せ。","MgO","Mg2O;MgO2;MnO;Mg2O3;MgCl;MgS;MoO"
"中2","粒子（化学）","鉄と硫黄の混合物を加熱すると、何という物質ができるか。","硫化鉄","酸化鉄;塩化鉄;硫酸鉄;硫化銅;硫化水素;炭化鉄;水酸化鉄"
"中2","粒子（化学）","鉄と硫黄の化合の化学変化を化学反応式で表せ。","Fe＋S→FeS","Fe＋S→FeS2;2Fe＋S→Fe2S;FeS→Fe＋S;Fe＋O→FeO;Fe＋S→FeO;2Fe＋3S→Fe2S3;Fe＋S2→FeS2"
"中2","粒子（化学）","炭素を完全に燃やすと、何という物質ができるか。","二酸化炭素","一酸化炭素;炭;水;酸素;すす;二酸化硫黄;メタン"
"中2","粒子（化学）","炭素と酸素の化合を化学反応式で表せ。","C+O2→CO2","C+O→CO;2C+O2→2CO;C+2O2→2CO2;CO2→C+O2;C+O2→CO;2C+O2→CO2;C+O2→2CO"
"中2","粒子（化学）","水素と酸素の混合気体に炎を近づけると、爆発して何という物質ができるか。","水","過酸化水素;水蒸気;二酸化炭素;酸素;水素;オゾン;蒸気"
"中2","粒子（化学）","水ができる時の反応を化学反応式で表せ。","２H2＋O2→２H２O","H2+O2→H2O;2H2+O2→H2O2;H2+O→H2O;2H2O→2H2+O2;H2+2O→H2O2;H2+O2→2H2O;2H+O2→H2O"
"中2","粒子（化学）","酸化銅と炭素の化合物を加熱すると、銅と何という物質ができるか。","二酸化炭素","一酸化炭素;酸素;水;水素;炭;二酸化硫黄;炭酸"
"中2","粒子（化学）","酸化銅と炭素の化合物を加熱したとき、還元されてできる物質は何か。","銅","酸化銅;炭;二酸化炭素;鉄;銀;亜鉛;アルミニウム"
"中2","粒子（化学）","硫黄が入った試験管の中に銅線を入れて加熱すると、何という物質ができるか。","硫化銅","酸化銅;硫化鉄;塩化銅;硫酸銅;炭化銅;水酸化銅;硫化亜鉛"
"中2","粒子（化学）","塩酸と炭酸水素ナトリウムを密閉容器に入れて反応させたとき、反応の前後で質量はどうなるか。","変わらない","増える;減る;軽くなる;重くなる;半分になる"
"中2","粒子（化学）","水酸化バリウムと塩化アンモニウムを反応させてできる気体は何か。","アンモニア","二酸化炭素;水素;酸素;塩素;水蒸気;窒素;塩化水素"
"中2","粒子（化学）","（53）の化学変化は、発熱反応・吸熱反応のどちらか。","吸熱反応","発熱反応"
"中2","地学（地球）","天気図の記号で、◎の示す天気は何か。","くもり","晴れ;雨;雪;快晴;あられ;きり;かみなり"
"中2","地学（地球）","天気図の記号で、●の示す天気は何か。","雨","くもり;晴れ;雪;快晴;あられ;きり;みぞれ"
"中2","地学（地球）","天気図で、気圧が等しい地点を結んだ曲線を何というか。","等圧線","等温線;前線;等高線;等湿線;等深線;気圧線;天気図"
"中2","地学（地球）","等圧線は1000hPaを基準に、何hPaごとに引いてあるか。","４hPa","２hPa;１hPa;10hPa;20hPa;５hPa;８hPa;1000hPa"
"中2","地学（地球）","等圧線は何hPaごとに太線にするか。","２０hPa","４hPa;10hPa;40hPa;50hPa;100hPa;２hPa;30hPa"
"中2","地学（地球）","風向は何方位で観測するか。","16方位","8方位;4方位;32方位;360度;12方位;東西南北;24方位"
"中2","地学（地球）","雲量が2～8の天気は何か。","晴れ","くもり;快晴;雨;雪;うす曇り;かすみ;もや"
"中2","地学（地球）","いっぱんに、気圧が高くなると天気はどうなるか。","よくなる","悪くなる;変わらない;雨になる;くもる;荒れる;ぐずつく;不安定になる"
"中2","地学（地球）","晴れた日の湿度と気温の変化は、どのような関係にあるか。","逆の関係","同じ関係;比例の関係;正比例の関係;関係がない;一定の関係;無関係;ゆるやかな関係"
"中2","地学（地球）","雨の日の湿度と気温の変化は大きいか、小さいか。","小さい","大きい"
"中2","地学（地球）","空気が冷やされて、空気中の水蒸気が凝結して水滴ができはじめる温度を何というか。","露点","沸点;融点;凝固点;氷点;飽和点;凝結点;気温"
"中2","地学（地球）","１㎥の空気中にふくむことのできる最大の水蒸気量を何というか。","飽和水蒸気量","湿度;露点;水蒸気量;最大湿度;絶対湿度;蒸気圧;凝結量"
"中2","地学（地球）","飽和水蒸気量は気温が上がるとどのように変化するか。","大きくなる","小さくなる;変わらない;一定になる;減少する"
"中2","地学（地球）","空気１㎥中にふくまれている水蒸気量が、その気温での飽和水蒸気量に対してどのくらいの割合かを百分率で表したものを何というか。","湿度（％）","飽和水蒸気量;露点;水蒸気量;蒸気圧;気温;絶対湿度;含水率"
"中2","地学（地球）","空気中の水蒸気量が変わらす、気温が高くなると、湿度はどうなるか。","小さくなる（低くなる）","大きくなる;高くなる;変わらない;一定になる;上がる"
"中2","地学（地球）","空気中の水蒸気量が変わらず、気温が高くなると、露点はどうなるか。","変わらない","上がる;下がる;高くなる;低くなる;大きくなる;小さくなる;不規則に変化"
"中2","地学（地球）","密封された菓子ぶくろを高い山に持っていくと、ぱんぱんにふくらむ。これはふくろ中の空気がどうなるからか。","膨張するから","収縮するから;冷えるから;あたたまるから;気圧が上がるから;しぼむから;湿るから;気温が上がるから"
"中2","地学（地球）","高度が上がるほど（上空にいくほど）気圧はどうなるか。","低くなる","高くなる;変わらない;一定になる;上がる"
"中2","地学（地球）","空気のかたまりが上昇して露点に達し、細かい水滴や氷の粒となって上空に浮かんだものを何というか。","雲","霧;露;霜;雨;水蒸気;もや;かすみ"
"中2","地学（地球）","地表付近の空気がその場所で冷やされて露天に達し、細かい水滴になって浮かんだものを何というか。","霧","雲;露;霜;もや;かすみ;雨;湯気"
"中2","地学（地球）","雲をつくる水滴や氷の粒が水滴となって地表に落ちてきたものを何というか。","雨","雪;雲;霧;露;あられ;ひょう;みぞれ"
"中2","地学（地球）","空から地表に降ってくる雨や雪などをまとめて何というか。","降水","降雨;降雪;蒸発;凝結;水循環;湿度;水蒸気"
"中2","地学（地球）","まわりより気圧の高いところを何というか。","高気圧","低気圧;気団;前線;台風;気圧の谷;熱帯低気圧;気圧の尾根"
"中2","地学（地球）","まわりより気圧が低いところを何というか。","低気圧","高気圧;気団;前線;気圧の尾根;移動性高気圧;熱帯高気圧;気圧の谷"
"中2","地学（地球）","気圧の高いところから低いところへ向かう大気の流れを何というか。","風","気流;上昇気流;下降気流;偏西風;貿易風;季節風;対流"
"中2","地学（地球）","低気圧の中心部で吹いている上下方向の風の流れを何というか。","上昇気流","下降気流;水平気流;対流;乱気流;偏西風;ジェット気流;横風"
"中2","地学（地球）","高気圧の中心部で吹いている上下方向の風の流れを何というか。","下降気流","上昇気流;水平気流;対流;乱気流;偏西風;ジェット気流;横風"
"中2","地学（地球）","雲ができやすいのは上昇気流と下降気流のどちらがあるところか。","上昇気流","下降気流"
"中2","地学（地球）","北半球で、上から見て中心から時計まわりに風が吹き出しているのは、高気圧と低気圧のどちらか。","高気圧","低気圧"
"中2","地学（地球）","北半球で、上から見て中心へ反時計回りに風が吹きこんでいるのは、高気圧と低気圧のどちらか。","低気圧","高気圧"
"中2","地学（地球）","気温や湿度などの性質がほぼ一様な空気のかたまりを何というか。","気団","前線;前線面;高気圧;低気圧;気塊;大気;雲"
"中2","地学（地球）","性質の異なる2つの気団が接した境の面を何というか。","前線面","前線;前線帯;境界線;等圧線;断層面;気団;接触面"
"中2","地学（地球）","前線面が地表に接しているところを何というか。","前線","前線面;前線帯;気団;等圧線;境界線;天気図;気圧線"
"中2","地学（地球）","寒気が暖気をおしあげるようにして進むときにできる前線を何というか。","寒冷前線","温暖前線;停滞前線;へいそく前線;梅雨前線;秋雨前線;前線面;気団"
"中2","地学（地球）","暖気が寒気にはい上がるようにして進むときにできる前線を何というか。","温暖前線","寒冷前線;停滞前線;へいそく前線;梅雨前線;秋雨前線;前線面;気団"
"中2","地学（地球）","寒気と暖気の勢力がほぼ同じで、ほとんど動かない前線を何というか。","停滞前線","寒冷前線;温暖前線;へいそく前線;梅雨前線;秋雨前線;移動前線;前線面"
"中2","地学（地球）","寒冷前線が温暖前線に追いついて重なってできた前線を何というか。","へいそく前線","寒冷前線;温暖前線;停滞前線;梅雨前線;秋雨前線;前線面;気団"
"中2","地学（地球）","温暖前線通過後、気温はどう変わるか。","上がる","下がる;変わらない;一定になる;急に下がる"
"中2","地学（地球）","寒冷前線通過後、気温はどう変わるか。","下がる","上がる;変わらない;一定になる;急に上がる"
"中2","地学（地球）","いっぱんに、日本付近の天気は、どちらからどちらへ変わっていくか。","西から東","東から西;南から北;北から南;東から北;西から南;北西から南東;南東から北西"
"中2","地学（地球）","地球の北極と南極を結んだ軸を何というか。","地軸","赤道;経線;緯線;子午線;公転面;回転軸;北極軸"
"中2","地学（地球）","地球が地軸を軸として、西から東へ1日1回転していることを何というか。","自転","公転;日周運動;年周運動;周転;回帰;歳差;反転"
"中2","地学（地球）","北の空の星は、何という星を中心に動いているように見えるか。","北極星","北斗七星;カシオペヤ座;シリウス;ベガ;オリオン座;南極星;こと座"
"中2","地学（地球）","太陽（天体）が真南にくることをなんというか。また、このときの高度をなんというか。","南中、南中高度","日の出と日の入り;南中時刻と高度;正中と仰角;頂点と高度;真南と方位;東中と高度;天頂と高度"
"中2","地学（地球）","地球が太陽を中心として、そのまわりを1年の秋季で回っている運動のことをなんというか。","公転","自転;日周運動;周転運動;歳差;反転;回帰運動;軌道運動"
"中2","地学（地球）","太陽の南中高度がもっとも高くなる日を何というか。","夏至の日","冬至の日;春分の日;秋分の日;立夏;立秋;白夜;真夏日"
"中2","地学（地球）","太陽の南中高度がもっとも低くなる日を何というか。","冬至の日","夏至の日;春分の日;秋分の日;立冬;立春;真冬日;大寒"
"中2","地学（地球）","太陽の表面にある、黒いしみのように見える部分をなんというか。","黒点","コロナ;プロミネンス;白斑;フレア;粒状斑;太陽風;日食"
"中2","地学（地球）","太陽、月、地球がこの順で一直線に並んだときに、つきが太陽をかくす現象を何というか。","日食","月食;新月;満月;皆既月食;星食;日没;惑星食"
"中2","地学（地球）","太陽や星座をつくる星のように、みずから光を出してかがやいている星を何というか。","恒星","惑星;衛星;すい星;星雲;流星;小惑星;銀河"
"中2","地学（地球）","太陽の光を反射してかがやいており、星座の星の間をさまようように動いて見える星を何というか。","惑星","恒星;衛星;すい星;星雲;流星;小惑星;太陽"
"中2","地学（地球）","太陽系をふくむ銀河のことをなんというか。","銀河系","太陽系;銀河;星団;星雲;宇宙;星座;局部銀河群"
"中2","エネルギー（物理）","ちがう種類の物質をたがいに摩擦したときに発生する電気を何というか。","静電気(摩擦電気)","電流;放電;動電気;電圧;雷;帯電;電気力"
"中2","エネルギー（物理）","電流の流れる道すじが１つの輪のようになっている回路を何というか。","直列回路","並列回路;混合回路;分岐回路;短絡回路;閉回路;開回路;複合回路"
"中2","エネルギー（物理）","電流の流れる道すじが枝分かれしている回路を何というか。","並列回路","直列回路;混合回路;分岐回路;短絡回路;閉回路;開回路;複合回路"
"中2","エネルギー（物理）","電流計は，回路に直列につなぐか，並列につなぐか。","直列につなぐ","並列につなぐ"
"中2","エネルギー（物理）","電流計をこわさないようにするため，はじめにつなぐ－端子は５Ａ，500ｍＡ，50ｍＡのどれか。","５Ａ","500ｍＡ;50ｍＡ"
"中2","エネルギー（物理）","電圧計は，回路に直列につなぐか，並列につなぐか。","並列につなぐ","直列につなぐ"
"中2","エネルギー（物理）","電圧計にはじめにつなぐ－端子は300Ｖ，15V，３Vのどれか。","300Ｖ","15V;３V"
"中2","エネルギー（物理）","電熱線に流れる電流の強さが，電熱線に加わる電圧の大きさに比例する関係を何の法則というか。","オームの法則","フックの法則;キルヒホッフの法則;ジュールの法則;ファラデーの法則;クーロンの法則;フレミングの法則;慣性の法則"
"中2","エネルギー（物理）","電流の流れにくさを表す量を何というか。","抵抗(電気抵抗)","電流;電圧;電力;電気量;電位差;静電気;電荷"
"中2","エネルギー（物理）","銅などの金属のように，電流を通しやすい物質を何というか。","導体","不導体;絶縁体;半導体;誘電体;抵抗体;非電導体;電解質"
"中2","エネルギー（物理）","ガラスやゴムなどのように，抵抗が大きく電流がひじょうに流れにくい物質を何というか。","不導体(絶縁体)","導体;半導体;抵抗体;誘電体;電解質;伝導体;金属"
"中2","エネルギー（物理）","熱や光，音などを出したり，物体を動かしたりする電気器具の能力を何というか。","電力","電流;電圧;電気抵抗;電力量;熱量;仕事率;電気量"
"中2","エネルギー（物理）","１Vの電圧を加えて１Aの電流を流れたときの電力を単位をつけて表すとどうなるか。","１Ｗ(ワット)","1V;1A;1J;1Ω;1Wh;1N;1Hz"
"中2","エネルギー（物理）","電気ポットで水の温度を上昇させるとき、ワット数の大きいほうと小さいほうではどちらが早く高い温度になるか。","大きいほう","小さいほう;同じ;変わらない;どちらも同時"
"中2","エネルギー（物理）","磁力がはたらいている空間を何というか。","磁界","磁力線;磁力;磁石;電界;重力場;磁束;引力"
"中2","エネルギー（物理）","磁界の中に磁針を置いたとき，磁針のN極が指す向きを何というか。","磁界の向き","磁力線;磁界の強さ;磁力の大きさ;電流の向き;N極の向き;北の向き;力の向き"
"中2","エネルギー（物理）","磁針のN極が指す向きをなめらかにつないだ線を何というか。","磁力線","磁界;磁力;電気力線;磁束線;等磁力線;等高線;力線"
"中2","エネルギー（物理）","磁石のつくる磁界の向きは，N極からS極，S極からN極のどちらか。","Ｎ極からＳ極","Ｓ極からＮ極"
"中2","エネルギー（物理）","磁界の強いところの磁力線の間隔はどのようになっているか。","せまくなっている","広くなっている;変わらない;まばらである;一定である;均等になっている"
"中2","エネルギー（物理）","まっすぐな導線に電流を流すと，そのまわりにはどのような形の磁界ができるか。","同心円状","直線状;放射状;らせん状;平行な直線;うず巻き状;格子状;波状"
"中2","エネルギー（物理）","コイルの巻き数を多くするほど，磁界の強さはどうなるか。","強くなる","弱くなる;変わらない;一定になる;消える"
"中2","エネルギー（物理）","磁界の中の導線に電流が流れる，導線が動き出す原理を利用したものに何があるか。","モーター(電動機)","発電機;変圧器;電磁石;スピーカー;変圧機;ダイナモ;乾電池"
"中2","エネルギー（物理）","コイルの中の磁界が変化すると，コイルに電流が流れる現象を何というか。","電磁誘導","誘導電流;静電誘導;自己誘導;電磁石;放電;電離;帯電"
"中2","エネルギー（物理）","コイルの中の磁界の変化によってコイルに流れる電流を何というか。","誘導電流","電磁誘導;直流;交流;静電気;誘導起電力;放電;整流"
"中2","エネルギー（物理）","電磁誘導を利用して電流を得られるようにした装置は何か。","発電機","モーター;変圧器;電磁石;乾電池;変流器;コイル;整流器"
"中3","生命（生物）","多くの動物や植物のふえ方で，雌と雄がかかわって子孫を残していくふえ方を何というか。","有性生殖","無性生殖;栄養生殖;分裂;出芽;胞子生殖;単為生殖;受精"
"中3","生命（生物）","親のからだの一部が分かれたり，分裂したりして子孫を残していくふえ方を何というか。","無性生殖","有性生殖;受精;受粉;減数分裂;発生;胎生;胞子"
"中3","生命（生物）","卵細胞の核と精細胞の核が合体すること，または，卵の核と精子の核が合体することを何というか。","受精","受粉;発生;減数分裂;受胎;結合;分裂;着床"
"中3","生命（生物）","１個の受精卵が細胞分裂をくり返して，生物のからだができていく過程を何というか。","発生","受精;成長;分化;発芽;分裂;成熟;誕生"
"中3","生命（生物）","受精卵が分裂をくり返して，細胞の数をふやし，発生期にある個体を何というか。","胚","胚珠;胚乳;受精卵;子房;幼生;胎児;たね"
"中3","生命（生物）","卵や精子などの生殖細胞をつくるときに，染色体の数が半分になるような特別の細胞分裂を何というか。","減数分裂","体細胞分裂;細胞分裂;受精;複製;分化;成長;増殖"
"中3","生命（生物）","被子植物で，受粉が行われたあと，花粉から胚珠に向かってのびていくものを何というか。","花粉管","花粉;やく;胚珠;子房;精細胞;柱頭;胚のう"
"中3","生命（生物）","生物がもつ形や性質の特徴のことを何というか。","形質","遺伝;遺伝子;染色体;特徴;形態;個性;表現"
"中3","生命（生物）","親のもつ特徴が子に受けつがれることを何というか。","遺伝","形質;遺伝子;変異;進化;継承;突然変異;優性"
"中3","生命（生物）","核の中の染色体にあり，形質を伝えるもとになるものを何というか。","遺伝子","染色体;形質;遺伝;DNA;細胞核;核;たんぱく質"
"中3","生命（生物）","生物どうしの食べる・食べられるという関係によるつながりを何というか。","食物連鎖","食物網;生態系;生態ピラミッド;物質循環;生物濃縮;共生;寄生"
"中3","生命（生物）","光合成で有機物をつくる植物の，生物どうしのつながりにおけるよばれ方を何というか。","生産者","消費者;分解者;一次消費者;二次消費者;捕食者;被食者;栄養者"
"中3","生命（生物）","植物がつくり出した有機物を食べる動物の，生物どうしのつながりにおけるよばれ方を何というか。","消費者","生産者;分解者;捕食者;被食者;一次生産者;栄養者;消化者"
"中3","生命（生物）","有機物を無機物に分解するはたらきをしている菌類・細菌類の，生物どうしのつながりにおけるよばれ方を何というか。","分解者","生産者;消費者;一次消費者;捕食者;還元者;腐食者;栄養者"
"中3","生命（生物）","地球上の生物が利用している大気中の酸素は，何というはたらきでつくられているか。","光合成","呼吸;蒸散;燃焼;分解;窒素固定;発酵;酸化"
"中3","粒子（化学）","塩化ナトリウムのように、水に溶かしたときに水溶液に電流が流れる物質を何というか。","電解質","非電解質;導体;溶質;溶媒;イオン;電導体;絶縁体"
"中3","粒子（化学）","砂糖のように、水に溶かしたとき水溶液に電流が流れない物質を何というか。","非電解質","電解質;絶縁体;不導体;溶質;溶媒;分子;中性"
"中3","粒子（化学）","物質をつくる最小の粒子を何というか。","原子","分子;イオン;電子;元素;原子核;陽子;粒子"
"中3","粒子（化学）","原子核のまわりに存在し、－の電気をもつものを何というか。","電子","陽子;中性子;原子核;陽イオン;陰イオン;原子;粒子"
"中3","粒子（化学）","原子核にあり、＋の電気をもつものを何というか。","陽子","中性子;電子;原子核;陽イオン;陰イオン;原子;核"
"中3","粒子（化学）","原子核にあり、電気をもたないものを何というか。","中性子","陽子;電子;原子核;中性;イオン;原子;核"
"中3","粒子（化学）","陽子と中性子からできているものを何というか。","原子核","原子;電子;陽子;中性子;イオン;核;分子"
"中3","粒子（化学）","原子が電気を帯びたものを何というか。","イオン","原子;分子;電子;陽子;原子核;電解質;元素"
"中3","粒子（化学）","原子が電子を失って、＋の電気を帯びたものを何というか。","陽イオン","陰イオン;電子;陽子;中性子;原子核;原子;分子"
"中3","粒子（化学）","原子が電子を受けとって、－の電気を帯びたものを何というか。","陰イオン","陽イオン;電子;陽子;中性子;原子核;原子;分子"
"中3","粒子（化学）","原子の記号を使い、イオンを記号で書き表したものを何というか。","イオン式","化学式;化学反応式;分子式;元素記号;組成式;原子記号;示性式"
"中3","粒子（化学）","電解質が水に溶け、陽イオンと陰イオンに分かれることを何というか。","電離","電気分解;イオン化;分解;溶解;放電;中和;融解"
"中3","粒子（化学）","化学変化を利用して電気エネルギーをとり出す装置を何というか。","電池（化学電池）","燃料電池;発電機;光電池;コンデンサー;蓄電池;太陽電池;変圧器"
"中3","粒子（化学）","水の電気分解と逆の化学変化を利用して、電気エネルギーをとり出す電池を何というか。","燃料電池","乾電池;化学電池;太陽電池;鉛蓄電池;光電池;マンガン電池;発電機"
"中3","粒子（化学）","酸性で黄色、中性で緑色、アルカリ性で青色を示す指示薬は何か。","BTB溶液","フェノールフタレイン溶液;リトマス紙;ヨウ素液;石灰水;塩化コバルト紙;ベネジクト液;pH試験紙"
"中3","粒子（化学）","酸性・中性で無色、アルカリ性で赤色を示す指示薬は何か。","フェノールフタレイン溶液","BTB溶液;リトマス紙;ヨウ素液;石灰水;塩化コバルト紙;ベネジクト液;pH試験紙"
"中3","粒子（化学）","酸性やアルカリ性の強さを表す数値を何というか。","pH","濃度;モル濃度;密度;指示薬;酸性度;電離度;温度"
"中3","粒子（化学）","pHの値が７のとき、水溶液は何性か。","中性","酸性;アルカリ性"
"中3","粒子（化学）","pHの値が７より小さいとき、水溶液は何性か。","酸性","中性;アルカリ性"
"中3","粒子（化学）","pHの値が７より大きいとき、水溶液は何性か。","アルカリ性","酸性;中性"
"中3","粒子（化学）","水溶液中で電離してH+を生じる物質を何というか。","酸","アルカリ;塩;酸性;中性;水酸化物;陽イオン;電解質"
"中3","粒子（化学）","水溶液中で電離してOH-を生じる物質を何というか。","アルカリ","酸;塩;アルカリ性;中性;陰イオン;水素;電解質"
"中3","粒子（化学）","H+とOH-が結びついて、酸とアルカリの互いの性質を打ち消し合う反応を何というか。","中和","酸化;還元;電離;化合;分解;溶解;沈殿"
"中3","粒子（化学）","酸の陰イオンとアルカリの陽イオンが結びついてできる物質を何というか。","塩","酸;アルカリ;水;水酸化物;沈殿物;結晶;塩化物"
"中3","粒子（化学）","うすい塩酸・精製水・エタノールの水溶液のうち、電流が流れるものはどれか。","うすい塩酸","精製水;エタノール"
"中3","粒子（化学）","砂糖・食塩・塩化銅のうち、非電解質はどれか。","砂糖","食塩;塩化銅"
"中3","粒子（化学）","＋の電気をもつのは,陽子・中性子・電子のうちのどれか。","陽子","中性子;電子"
"中3","粒子（化学）","原子は、全体として電気を帯びているか。","帯びていない","帯びている;＋に帯びている;－に帯びている;帯電している"
